Tipo,Num,nGer,nPop,nElite,tM,dim,tempo,avaliacao,min,erro
blx,142,10000,20,2,0.2,10,"137,3895518779750","-386,7054111","-391,6599","4,954488917"
blx,143,10000,20,2,0.3,10,"134,9482014179220","-382,2803988","-391,6599","9,379501222"
blx,144,10000,20,2,0.4,10,"134,3375346660610","-378,9676836","-391,6599","12,6922164"
blx,145,10000,20,2,0.5,10,"135,2054553031920","-378,6626171","-391,6599","12,9972829"
blx,146,10000,20,1,0.1,10,"138,4701366424560","-381,1291253","-391,6599","10,5307747"
blx,147,10000,20,2,0.1,10,"134,1073377132410","-382,9897864","-391,6599","8,670113599"
blx,148,10000,20,3,0.1,10,"135,4704647064200","-381,5569715","-391,6599","10,10292853"
blx,149,10000,20,4,0.1,10,"134,5695381164550","-379,1694285","-391,6599","12,49047145"
blx,150,10000,20,5,0.1,10,"132,6876835823050","-382,1764295","-391,6599","9,483470532"
blx,151,10000,20,2,0.1,10,"133,8249485492700","-381,9254134","-391,6599","9,734486604"
blx,152,10000,40,2,0.1,10,"291,0802285671230","-386,1065723","-391,6599","5,553327716"
blx,153,10000,60,2,0.1,10,"450,3391849994650","-389,0828213","-391,6599","2,577078744"
blx,154,50000,20,2,0.1,10,"671,4524285793300","-386,0022532","-391,6599","5,657646795"
blx,155,10000,20,2,0.1,12,"158,4427857398980","-451,4152458","-469,99188","18,57663424"
blx,156,10000,20,2,0.2,12,"157,2874286174770","-446,7310168","-469,99188","23,26086322"
blx,157,10000,20,2,0.3,12,"159,8175497055050","-452,0424966","-469,99188","17,94938343"
blx,158,10000,20,2,0.4,12,"157,7168128490440","-452,1261098","-469,99188","17,86577016"
blx,159,10000,20,2,0.5,12,"155,0986659526820","-450,0890955","-469,99188","19,90278447"
blx,160,10000,20,1,0.1,12,"157,9690203666680","-445,1606571","-469,99188","24,83122291"
blx,161,10000,20,2,0.1,12,"158,6315233707420","-451,9879714","-469,99188","18,00390857"
blx,162,10000,20,3,0.1,12,"156,7721490859980","-455,0330256","-469,99188","14,95885443"
blx,163,10000,20,4,0.1,12,"157,4278335571280","-447,7182289","-469,99188","22,27365106"
blx,164,10000,20,5,0.1,12,"156,0551664829250","-447,0031422","-469,99188","22,98873779"
blx,165,10000,20,2,0.1,12,"162,7798120975490","-447,4894764","-469,99188","22,50240356"
blx,166,10000,40,2,0.1,12,"330,2467706203460","-461,1875518","-469,99188","8,804328158"
blx,167,10000,60,2,0.1,12,"518,2879188060760","-464,1524795","-469,99188","5,839400461"
blx,168,50000,20,2,0.1,12,"782,5552031993860","-460,5676812","-469,99188","9,424198804"
